000393,Apple
001B63,Apple
002312,Apple
003EE1,Apple
0050E4,Apple
009027,Apple
00A040,Apple
00CD46,Apple
041552,Apple
0C3021,Apple
0CD746,Apple
0CDB44,Apple
10DDB1,Apple
141BA4,Apple
182032,Apple
1C36BB,Apple
20A2E4,Apple
241EEB,Apple
28E02C,Apple
2C3361,Apple
2CB43A,Apple
2CF0A2,Apple
3010E4,Apple
3408BC,Apple
34C059,Apple
3C0754,Apple
3C22FB,Apple
40A6D9,Apple
44D884,Apple
48D705,Apple
4C3275,Apple
4C57CA,Apple
4C74BF,Apple
502B73,Apple
507A55,Apple
5433CB,Apple
5855CA,Apple
58B035,Apple
5C5948,Apple
5CF5DA,Apple
60C547,Apple
60D9C7,Apple
60F81D,Apple
640980,Apple
6476BA,Apple
6C3C7C,Apple
6C709F,Apple
6C94F8,Apple
703EAC,Apple
7014A6,Apple
7081EB,Apple
70DEE2,Apple
741BB2,Apple
78886D,Apple
78CA39,Apple
78D75F,Apple
7C04D0,Apple
7C6D62,Apple
7CD1C3,Apple
7CFADF,Apple
804971,Apple
80929F,Apple
84788B,Apple
848506,Apple
84FCFE,Apple
8866A5,Apple
886B6E,Apple
88C663,Apple
8C006D,Apple
8C2DAA,Apple
8C7C92,Apple
8C8590,Apple
8CFABA,Apple
9003B7,Apple
90840D,Apple
9060F1,Apple
90B21F,Apple
90FD61,Apple
940006,Apple
9801A7,Apple
98D6BB,Apple
98F0AB,Apple
9C20D0,Apple
9C35EB,Apple
9CFC01,Apple
A02195,Apple
A45E60,Apple
A4B197,Apple
A4D1D2,Apple
A82066,Apple
A860B6,Apple
A88808,Apple
AC1F74,Apple
ACBC32,Apple
ACFDEC,Apple
B019C6,Apple
B48B19,Apple
B4F0AB,Apple
B8098A,Apple
B844D9,Apple
B8C111,Apple
B8E856,Apple
BC3BAF,Apple
BC5436,Apple
BC6778,Apple
BCB1F3,Apple
C01ADA,Apple
C06394,Apple
C0A53E,Apple
C0CCDB,Apple
C42C03,Apple
C82A14,Apple
C869CD,Apple
C8B5B7,Apple
CC088D,Apple
CC20E8,Apple
CC4463,Apple
D023DB,Apple
D02598,Apple
D04F7E,Apple
D0A637,Apple
D0C5F3,Apple
D4619D,Apple
D49A20,Apple
D4F46F,Apple
D8004D,Apple
D81C79,Apple
D89695,Apple
D8CF9C,Apple
DC2B2A,Apple
DC2C6E,Apple
DC3714,Apple
DC415F,Apple
DC56E7,Apple
DCA4CA,Apple
E05F45,Apple
E0B9BA,Apple
E0C767,Apple
E425E7,Apple
E48B7F,Apple
E4C63D,Apple
E80688,Apple
E8040B,Apple
E89120,Apple
F02475,Apple
F04F7C,Apple
F0766F,Apple
F0989D,Apple
F0B479,Apple
F0C1F1,Apple
F0D1A9,Apple
F0DCE2,Apple
F40F24,Apple
F437B7,Apple
F45C89,Apple
F4F15A,Apple
F8E079,Apple
001632,Samsung
0007AB,Samsung
001247,Samsung
001377,Samsung
001599,Samsung
0016DB,Samsung
0017C9,Samsung
0017D5,Samsung
001856,Samsung
001A8A,Samsung
001B98,Samsung
001CDL,Samsung
001EE1,Samsung
001EE2,Samsung
001FCC,Samsung
001FCD,Samsung
00214C,Samsung
002339,Samsung
002491,Samsung
0025DC,Samsung
002566,Samsung
0026E2,Samsung
04180E,Samsung
083D88,Samsung
08D42B,Samsung
08ECA9,Samsung
0C14F2,Samsung
0C715D,Samsung
0C8910,Samsung
100BA9,Samsung
10D38A,Samsung
14568E,Samsung
1489FD,Samsung
14A364,Samsung
18227E,Samsung
183A2D,Samsung
183F47,Samsung
184ECE,Samsung
185429,Samsung
188331,Samsung
18E2C2,Samsung
1C5A3E,Samsung
1C66AA,Samsung
1CCDE5,Samsung
1CF293,Samsung
2013E0,Samsung
20D390,Samsung
2462CE,Samsung
24DB96,Samsung
280927,Samsung
2827BF,Samsung
28395E,Samsung
28BAB5,Samsung
28CC01,Samsung
28E14C,Samsung
2C4401,Samsung
30074D,Samsung
300D43,Samsung
30CBF4,Samsung
34145F,Samsung
3423BA,Samsung
3408BC,Samsung
340804,Samsung
34C3AC,Samsung
3816D1,Samsung
3C5A37,Samsung
3C6200,Samsung
3C8BFE,Samsung
403004,Samsung
404E36,Samsung
44F459,Samsung
48137E,Samsung
4844F7,Samsung
4C3C16,Samsung
5001BB,Samsung
509EA7,Samsung
50A4D0,Samsung
50B7C3,Samsung
50FC9F,Samsung
540955,Samsung
543530,Samsung
5C0ABC,Samsung
5C3C27,Samsung
60A10A,Samsung
60AF6D,Samsung
64B853,Samsung
680571,Samsung
6C2F2C,Samsung
700514,Samsung
706655,Samsung
7077B0,Samsung
708CB6,Samsung
742344,Samsung
7840E4,Samsung
7894B4,Samsung
78471D,Samsung
78AB60,Samsung
78D6F0,Samsung
80656D,Samsung
842519,Samsung
843835,Samsung
84119E,Samsung
84A466,Samsung
84B541,Samsung
882164,Samsung
88329B,Samsung
886B6E,Samsung
88D50C,Samsung
8C771A,Samsung
8CC8CD,Samsung
90185E,Samsung
9025DB,Samsung
90F1AA,Samsung
940080,Samsung
94350A,Samsung
94D771,Samsung
980CB5,Samsung
9852B1,Samsung
9C2EA1,Samsung
9CDC71,Samsung
9CDF03,Samsung
9E49B0,Samsung
A00798,Samsung
A44E31,Samsung
A45D36,Samsung
A4F1E8,Samsung
A82BB9,Samsung
A89FBA,Samsung
AC5A14,Samsung
ACC33A,Samsung
B41513,Samsung
B47443,Samsung
B4EF39,Samsung
B87826,Samsung
B8D7AF,Samsung
BC14EF,Samsung
BC2028,Samsung
BC4760,Samsung
BC72B1,Samsung
BC8CCD,Samsung
BCFE8C,Samsung
C06118,Samsung
C089AB,Samsung
C0973E,Samsung
C0B3D9,Samsung
C4731E,Samsung
C4ABB2,Samsung
C819F7,Samsung
CC07AB,Samsung
CC3A61,Samsung
D0176A,Samsung
D022BE,Samsung
D05349,Samsung
D087E2,Samsung
D09466,Samsung
D0C1B1,Samsung
D0D009,Samsung
D469A5,Samsung
D48890,Samsung
